City_ID,City,Country,Max Temp,Weather Type,Lat,Lng,Hotel Name
505,Wucheng,CN,85.3,overcast clouds,29.6008,118.175,Xiuwu Restaurant
507,Savannah Bight,HN,80.94,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
511,Sola,VU,81.12,broken clouds,-13.8833,167.55,Leumerus Bungalows
512,Lebrija,ES,77.29,clear sky,36.9208,-6.0753,Hostal Mellizo
519,Dourbali,TD,85.51,broken clouds,11.8091,15.8632, 
520,Naze,JP,77.92,light rain,28.3667,129.4833,Shishime Hotel
530,Maningrida,AU,86.49,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
536,Cukai,MY,84.15,overcast clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
537,Stephenville,US,89.87,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
538,Samarai,PG,80.02,overcast clouds,-10.6167,150.6667,Nuli Sapi
541,Alyangula,AU,80.51,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
544,Aswan,EG,81.7,clear sky,24.0934,32.907,Nuba Nile
550,Yushan,CN,87.69,clear sky,31.3776,120.9543,裕元花园酒店
551,Sayansk,RU,76.37,overcast clouds,54.1088,102.1648,Yubileynaya
559,San Ramon,US,85.82,clear sky,37.7799,-121.978,San Ramon Marriott
561,Kushima,JP,78.46,overcast clouds,31.4583,131.2333,Hanaoka
564,Mumford,GH,77.59,moderate rain,5.2618,-0.759,Spanish Villa
570,San Ignacio,BZ,80.74,clear sky,17.1561,-89.0714,Rainforest Haven Inn
571,Tanete,ID,83.8,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
572,Kurumkan,RU,76.96,scattered clouds,54.3,110.3,Ilikchin
573,Sawakin,SD,88.27,clear sky,19.1059,37.3321,فندق الدويم
576,Robat Karim,IR,80.46,clear sky,35.4846,51.0829,خانه معلم رباط کریم - مرکز رفاهی خجسته کیا
578,Vanimo,PG,86.47,clear sky,-2.6741,141.3028,Vahmoneh Lodge Vanimo
580,Puerto Colombia,CO,78.89,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
583,Wagar,SD,85.37,scattered clouds,16.1525,36.2032, 
589,Poso,ID,86.23,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
590,Contai,IN,90.39,overcast clouds,21.7786,87.7536,PATHFINDER
592,Kirksville,US,81.82,clear sky,40.1948,-92.5833,Budget Host-Village Inn
594,Nerchinsk,RU,77.18,scattered clouds,51.9833,116.5833,Transbaikal N. Hotel
602,Santa Rosalia,MX,82.04,clear sky,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
603,Carutapera,BR,75.49,few clouds,-1.195,-46.02,Lidera
605,Bozdar,PK,93.94,clear sky,27.1828,68.636,Hadi Hassan Shah Stop
607,Pathein,MM,86.63,overcast clouds,16.7833,94.7333,Pathein Hotel
615,Lakatoro,VU,82.71,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
618,Bonthe,SL,77.77,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
620,Arys,KZ,88.57,scattered clouds,42.4252,68.795,Gostinitsa
621,Searcy,US,83.14,clear sky,35.2506,-91.7363,"Holiday Inn Express & Suites Searcy, an IHG Hotel"
622,Trenggalek,ID,82.06,broken clouds,-8.05,111.7167,OYO 2966 Hotel Atriaz
623,Doha,QA,87.78,clear sky,25.2867,51.5333,Doha Marriott Hotel
624,Andros Town,BS,82.36,clear sky,24.7,-77.7667,Hanks place
625,Porto Novo,BJ,82.22,moderate rain,6.4965,2.6036,Tour Eiffel Hotel Benin
634,Ahwa,IN,80.49,scattered clouds,20.75,73.6833,GREEN ORAA HOMESTAY AHWA
635,Nabire,ID,83.52,scattered clouds,-3.3667,135.4833,Hotel Nusantara I
637,Marsh Harbour,BS,80.71,clear sky,26.5412,-77.0636,Abaco Beach Resort
643,Galle,LK,81.5,overcast clouds,6.0367,80.217,Amangalla
645,Bairiki,KI,86.0,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
647,Aitape,PG,86.52,few clouds,-3.1374,142.3475, 
656,Morro Bay,US,89.19,clear sky,35.3658,-120.8499,Inn at Morro Bay
659,Aloleng,PH,86.61,broken clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
662,Kualakapuas,ID,87.21,overcast clouds,-3.0091,114.3876,Guest House Izonk
664,Hobyo,SO,78.17,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
665,Beatrice,US,84.18,broken clouds,40.2681,-96.747,Victorian Inn Beatrice
666,Maryville,US,84.4,few clouds,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
667,Wanning,CN,87.73,overcast clouds,18.8003,110.3967,Paradise Hotel
669,Cam Ranh,VN,85.96,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
672,Bosaso,SO,91.2,broken clouds,11.2842,49.1816,Red Sea Hotel
673,Saint Anthony,US,87.73,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
674,Ixtapa,MX,83.23,overcast clouds,20.7,-105.2,hotel la terminal
678,Pochutla,MX,78.62,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
