City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Type
161,Lata,PT,40.1629,-8.3327,65.07,74,3,2.3,clear sky
162,Sorland,NO,67.667,12.6934,46.26,84,100,11.72,overcast clouds
163,Talcahuano,CL,-36.7167,-73.1167,49.68,100,100,3.44,overcast clouds
164,Sept-Iles,CA,50.2001,-66.3821,62.6,73,75,5.75,broken clouds
165,Clovis,US,36.8252,-119.7029,88.02,19,0,13.8,haze
166,Gejiu,CN,23.306,103.1635,57.99,86,100,0.43,overcast clouds
167,La Palma,US,33.8464,-118.0467,81.93,71,0,9.22,clear sky
168,Coelho Neto,BR,-4.2567,-43.0128,70.09,89,0,2.93,clear sky
169,Shebunino,RU,46.4339,141.8603,58.8,68,6,11.65,clear sky
170,Invermere,CA,50.5167,-116.0354,49.42,91,100,1.32,overcast clouds
171,Vallenar,CL,-28.5708,-70.7581,51.13,78,100,1.14,overcast clouds
172,Kununurra,AU,-15.7667,128.7333,82.38,16,8,13.8,clear sky
173,Codrington,AU,-38.2667,141.9667,55.89,84,100,18.7,overcast clouds
174,Necochea,AR,-38.5473,-58.7368,50.58,65,100,8.7,overcast clouds
175,Ostrovnoy,RU,68.0531,39.5131,53.2,78,70,10.65,broken clouds
176,Cap Malheureux,MU,-19.9842,57.6142,72.46,68,21,7.0,few clouds
177,Kodiak,US,57.79,-152.4072,51.31,87,100,12.66,light rain
178,Verishen,AM,39.5356,46.3122,53.82,81,3,5.46,clear sky
179,Khovu-Aksy,RU,51.1333,93.6,68.68,60,63,6.31,broken clouds
180,Ispica,IT,36.7844,14.9063,65.03,46,0,4.9,clear sky
181,Sinnamary,GF,5.3833,-52.95,77.74,80,83,9.1,broken clouds
182,Nizhniy Bestyakh,RU,61.9594,129.9086,60.28,77,40,6.71,light rain
183,Lydenburg,ZA,-25.0978,30.4597,51.4,58,5,0.96,clear sky
184,Kudat,MY,6.8837,116.8477,85.93,70,20,5.75,few clouds
185,Vestmannaeyjar,IS,63.4427,-20.2734,49.68,77,100,16.46,overcast clouds
186,Tripoli,LY,32.8752,13.1875,73.27,57,0,4.99,clear sky
187,Thompson,CA,55.7435,-97.8558,71.76,64,100,6.91,overcast clouds
188,Talaya,RU,61.3833,152.75,58.44,50,96,12.5,overcast clouds
189,Tukrah,LY,32.5341,20.5791,71.44,87,0,5.14,clear sky
190,Mehamn,NO,71.0357,27.8492,40.91,89,100,9.57,overcast clouds
191,Mugur-Aksy,RU,50.35,90.5,61.5,49,82,4.63,broken clouds
192,Esperance,AU,-33.8667,121.9,60.55,62,32,15.01,scattered clouds
193,Toguchin,RU,55.2353,84.3858,65.34,82,14,9.19,few clouds
194,Marzuq,YE,14.4,46.4667,75.78,26,7,3.15,clear sky
195,Falun,SE,60.6036,15.626,48.94,69,92,4.32,overcast clouds
196,Khandagayty,RU,50.7333,92.05,69.64,48,96,8.25,overcast clouds
197,Dharmabad,IN,18.9,77.85,82.47,63,100,4.99,overcast clouds
198,Avarua,CK,-21.2078,-159.775,80.65,69,40,12.66,scattered clouds
199,Touros,BR,-5.1989,-35.4608,73.81,81,1,10.13,clear sky
200,Lethem,GY,3.3803,-59.7968,74.35,88,40,4.54,scattered clouds
201,George Town,MY,5.4112,100.3354,84.13,86,40,3.44,scattered clouds
202,Roald,NO,62.5833,6.1333,55.17,93,75,5.75,light rain
203,Emba,KZ,48.8264,58.1442,64.94,53,0,6.85,clear sky
204,Voznesenskaya,RU,44.5527,41.0318,57.58,92,10,5.55,clear sky
205,Sao Felix Do Xingu,BR,-6.6447,-51.995,69.4,99,100,1.86,moderate rain
206,Cedar City,US,37.6775,-113.0619,74.37,9,0,10.36,clear sky
207,Dolores,AR,-36.3132,-57.6792,48.16,78,100,6.24,overcast clouds
208,La Asuncion,VE,11.0333,-63.8628,76.37,84,87,3.29,overcast clouds
209,Biak,ID,-0.9131,122.8766,81.01,72,100,1.97,overcast clouds
210,Surt,LY,31.2089,16.5887,72.93,72,0,5.79,clear sky
211,Mar Del Plata,AR,-38.0023,-57.5575,49.08,90,100,2.3,overcast clouds
212,Oranjestad,AW,12.524,-70.027,80.55,83,40,18.41,scattered clouds
213,Kati,ML,12.7441,-8.0726,72.81,63,100,8.23,overcast clouds
214,Vila Franca Do Campo,PT,37.7167,-25.4333,65.19,84,100,4.0,overcast clouds
215,Quatre Cocos,MU,-20.2078,57.7625,72.09,75,0,15.19,clear sky
216,Lagoa,PT,39.05,-27.9833,63.23,93,91,15.64,overcast clouds
217,Abu Kamal,SY,34.4506,40.9171,77.32,49,0,11.36,clear sky
218,Flin Flon,CA,54.7682,-101.865,61.99,99,100,9.01,overcast clouds
219,Marrakesh,MA,31.6315,-8.0083,80.67,47,40,9.22,scattered clouds
220,De Aar,ZA,-30.6497,24.0123,37.13,91,4,8.08,clear sky
221,Tanout,NE,14.9709,8.8879,84.6,45,53,12.15,broken clouds
222,Anchorage,US,61.2181,-149.9003,67.08,47,75,12.66,broken clouds
223,Torbay,CA,47.6666,-52.7314,41.76,90,100,8.05,overcast clouds
224,Tibati,CM,6.4667,12.6333,65.25,96,99,2.64,overcast clouds
225,Poum,NC,-20.2333,164.0167,77.58,77,70,9.93,broken clouds
226,Iqaluit,CA,63.7506,-68.5145,42.53,81,40,2.3,scattered clouds
227,Faanui,PF,-16.4833,-151.75,79.63,75,22,22.28,light rain
228,Taoudenni,ML,22.6783,-3.9836,93.04,8,0,9.44,clear sky
229,Carnarvon,AU,-24.8667,113.6333,69.66,71,80,8.12,broken clouds
230,Rudbar,AF,30.15,62.6,93.97,14,32,3.85,scattered clouds
231,Dukat,RU,62.55,155.55,56.14,42,100,6.29,overcast clouds
232,Serafimovich,RU,49.5786,42.736,65.01,46,100,3.29,overcast clouds
233,Tuktoyaktuk,CA,69.4541,-133.0374,44.6,61,75,13.8,broken clouds
234,Belaya Gora,RU,68.5333,146.4167,73.38,25,13,13.42,few clouds
235,Itaocara,BR,-21.6692,-42.0761,59.16,92,99,2.24,overcast clouds
236,Tshikapa,CD,-6.4167,20.8,70.83,59,35,0.56,scattered clouds
237,Hovd,MN,48.0056,91.6419,76.71,27,98,1.68,overcast clouds
238,Conner,PH,17.7964,121.3275,87.4,68,97,3.33,overcast clouds
239,Dudinka,RU,69.4058,86.1778,72.63,43,49,5.86,scattered clouds
240,Hofn,IS,64.2539,-15.2082,49.5,77,34,6.96,scattered clouds
241,Severo-Kurilsk,RU,50.6789,156.125,46.9,92,100,4.9,overcast clouds
242,Birao,CF,10.2849,22.7882,74.55,75,100,4.16,overcast clouds
243,Nyimba,ZM,-14.5566,30.8149,57.11,72,0,2.35,clear sky
244,Takayama,JP,36.1333,137.25,61.59,93,100,5.26,overcast clouds
245,Cervo,ES,43.6702,-7.4101,57.96,93,0,1.01,clear sky
246,Robertsport,LR,6.7533,-11.3686,79.27,75,100,9.17,light rain
247,Yar-Sale,RU,66.8333,70.8333,56.66,52,84,13.47,broken clouds
248,Naica,MX,27.85,-105.4833,80.31,35,87,22.5,overcast clouds
249,Russell,US,32.3502,-85.1999,78.08,94,0,0.0,clear sky
250,Isangel,VU,-19.55,169.2667,80.67,71,37,12.06,scattered clouds
251,Kerewan,GM,13.4898,-16.0888,78.82,79,9,8.95,clear sky
252,Limenaria,GR,40.6261,24.5786,72.34,71,52,5.86,broken clouds
253,Pustoshka,RU,56.3355,29.369,48.76,95,100,14.81,overcast clouds
254,Kavaratti,IN,10.5669,72.642,83.28,73,100,16.11,heavy intensity rain
255,Apatity,RU,67.5641,33.4031,53.24,85,100,4.23,light rain
256,Orlik,RU,52.5178,99.825,65.68,59,100,1.97,overcast clouds
257,Litovko,RU,49.2361,135.1742,74.12,54,57,10.11,broken clouds
258,La Tuque,CA,47.4334,-72.7824,64.65,72,0,4.61,clear sky
259,Winnemucca,US,40.973,-117.7357,69.85,11,0,18.41,clear sky
260,Saskylakh,RU,71.9167,114.0833,50.9,40,8,12.59,clear sky
261,Nantucket,US,41.2835,-70.0995,66.25,84,0,4.61,clear sky
262,Christchurch,NZ,-43.5333,172.6333,60.33,35,23,11.5,few clouds
263,Batemans Bay,AU,-35.7167,150.1833,61.77,37,58,2.28,broken clouds
264,Iquitos,PE,-3.7481,-73.2472,69.84,94,0,1.14,clear sky
265,Manaure,CO,11.7751,-72.4445,82.15,71,100,12.03,overcast clouds
266,Muncar,ID,-8.4333,114.3333,82.78,78,84,6.89,broken clouds
267,Rehli,IN,23.6333,79.0833,91.56,44,6,11.74,clear sky
268,Baijiantan,CN,45.6333,85.1833,85.1,31,5,3.36,clear sky
269,Mogadishu,SO,2.0371,45.3438,78.69,83,81,19.6,broken clouds
270,Arklow,IE,52.7931,-6.1414,52.41,85,100,1.77,overcast clouds
271,Ayagoz,KZ,47.9714,80.4392,69.67,58,75,0.78,broken clouds
272,Takoradi,GH,4.8845,-1.7554,77.76,88,100,12.55,moderate rain
273,Wuwei,CN,37.9281,102.6414,80.83,14,0,1.36,clear sky
274,Payo,ID,-3.7508,103.6372,79.25,81,61,1.19,broken clouds
275,Roma,US,43.2128,-75.4557,66.72,79,0,3.44,clear sky
276,Port Blair,IN,11.6667,92.75,84.24,79,40,2.3,scattered clouds
277,Tessalit,ML,20.1986,1.0114,93.94,18,86,4.68,overcast clouds
278,Hirara,JP,24.8,125.2833,86.27,84,75,16.11,broken clouds
279,Adrar,MR,20.5022,-10.0711,89.94,31,30,11.1,scattered clouds
280,Urubicha,BO,-15.3833,-62.95,60.6,67,0,1.95,clear sky
281,Mandalgovi,MN,45.7625,106.2708,70.18,36,6,14.97,clear sky
282,Cacu,BR,-18.5567,-51.1308,67.6,37,100,3.38,overcast clouds
283,Jalapa,MX,19.5333,-96.9167,63.14,99,100,1.63,overcast clouds
284,Fare,PF,-16.7,-151.0167,78.84,78,47,21.3,light rain
285,Ambunti,PG,-4.2365,142.8448,88.21,58,46,3.24,scattered clouds
286,Vardo,NO,70.3705,31.1107,40.98,81,100,12.66,overcast clouds
287,Kenai,US,60.5544,-151.2583,64.02,49,75,8.05,broken clouds
288,Galatii Bistritei,RO,46.9833,24.4,47.62,87,2,2.08,clear sky
289,Salsk,RU,46.4725,41.5428,67.91,52,100,7.63,moderate rain
290,Saint-Pierre,RE,-21.3393,55.4781,70.92,60,0,8.05,clear sky
291,Perpignan,FR,42.75,2.75,69.73,79,0,10.36,clear sky
292,Nova Prata,BR,-28.7839,-51.61,49.28,98,0,3.18,clear sky
293,Byron Bay,AU,-28.65,153.6167,71.94,64,0,3.58,clear sky
294,Murray Bridge,AU,-35.1167,139.2667,61.12,66,54,17.9,broken clouds
295,Koutsouras,GR,35.0339,25.9469,75.11,60,0,10.45,clear sky
296,Kemijarvi,FI,66.7131,27.4306,53.83,79,100,3.6,overcast clouds
297,Campo Do Brito,BR,-10.7333,-37.4933,70.52,93,97,8.66,overcast clouds
298,Margate,GB,51.3813,1.3862,58.3,88,47,1.01,scattered clouds
299,Bhindar,IN,24.5,74.1833,82.65,76,70,13.51,broken clouds
300,Dong Hoi,VN,17.4833,106.6,84.2,73,100,5.66,overcast clouds
301,Requena,ES,39.4883,-1.1004,68.52,39,59,2.93,broken clouds
302,Vizianagaram,IN,18.1167,83.4167,87.31,56,100,1.45,overcast clouds
303,Kumi,KR,36.1136,128.336,71.28,75,93,4.0,overcast clouds
304,Shirokiy,RU,49.758,129.523,71.56,73,86,8.72,overcast clouds
305,Hailey,US,43.5196,-114.3153,53.89,37,0,18.99,clear sky
306,Ginir,ET,7.1333,40.7,54.61,90,73,6.8,broken clouds
307,Constitucion,CL,-35.3333,-72.4167,51.78,91,73,6.46,broken clouds
308,Fuyang,CN,32.9,115.8167,90.75,36,0,10.25,clear sky
309,Sakakah,SA,29.9697,40.2064,80.17,24,0,8.32,clear sky
310,Tilichiki,RU,60.4667,166.1,58.55,52,17,8.21,few clouds
311,Adre,TD,13.4667,22.2,76.23,63,100,5.77,overcast clouds
312,Araouane,ML,18.9048,-3.5265,92.07,12,0,11.43,clear sky
313,Kokopo,PG,-4.352,152.2633,85.57,61,9,9.17,clear sky
314,Wukari,NG,7.85,9.7833,74.73,90,51,5.19,broken clouds
315,Ciudad Bolivar,VE,8.1222,-63.5497,75.29,88,89,6.33,overcast clouds
316,Vila Velha,BR,-20.3297,-40.2925,66.94,78,20,4.61,few clouds
317,Gitega,BI,-3.5,29.95,56.43,87,3,3.91,clear sky
318,Kiunga,PG,-6.1219,141.2906,82.58,76,89,3.62,overcast clouds
319,Chunhuhub,MX,19.55,-88.6833,77.02,84,100,4.7,overcast clouds
320,Port Hardy,CA,50.6996,-127.4199,55.58,71,40,12.66,scattered clouds
321,Kuito,AO,-12.3833,16.9333,49.53,35,59,4.52,broken clouds
322,Grand Gaube,MU,-20.0064,57.6608,72.37,68,13,5.99,few clouds
323,Mabaruma,GY,8.2,-59.7833,73.29,95,57,2.57,broken clouds
324,Arrecife,ES,28.963,-13.5477,69.78,73,0,5.75,clear sky
325,Praia Da Vitoria,PT,38.7333,-27.0667,64.65,88,20,6.91,few clouds
326,Ambilobe,MG,-13.2,49.05,66.11,88,0,3.69,clear sky
327,Upata,VE,8.0086,-62.3989,74.19,96,10,3.49,clear sky
328,Kurilsk,RU,45.2333,147.8833,55.06,66,1,2.95,clear sky
329,Sisimiut,GL,66.9395,-53.6735,34.29,71,5,16.98,clear sky
330,Henties Bay,NA,-22.116,14.2845,54.84,75,0,9.84,clear sky
331,Tamandare,BR,-8.7597,-35.1047,75.94,80,54,5.28,broken clouds
332,Waddan,LY,29.1614,16.139,72.66,53,0,7.96,clear sky
333,Beringovskiy,RU,63.05,179.3167,38.01,78,96,9.91,overcast clouds
334,Guben,DE,51.9499,14.7145,49.32,77,65,4.05,broken clouds
335,Sidi Ali,DZ,36.0998,0.4206,75.06,58,93,5.06,overcast clouds
336,Laguna,US,38.421,-121.4238,89.56,13,0,10.36,clear sky
337,Marovoay,MG,-16.1,46.6333,66.92,88,1,4.25,clear sky
338,Zakupne,UA,49.1194,26.3376,46.87,91,19,5.21,few clouds
339,Saint-Francois,FR,46.4154,3.9054,58.44,82,0,0.0,clear sky
340,Namatanai,PG,-3.6667,152.4333,84.07,70,29,6.85,light rain
341,Les Cayes,HT,18.2,-73.75,76.96,79,65,3.98,broken clouds
342,Maniitsoq,GL,65.4167,-52.9,36.52,71,4,15.14,clear sky
343,Zapolyarnyy,RU,69.4154,30.8136,40.28,87,100,15.93,light rain
344,Qaqortoq,GL,60.7167,-46.0333,41.63,73,100,12.68,overcast clouds
345,Uruzgan,AF,32.8333,66.0,74.44,15,0,6.91,clear sky
346,Acapulco,MX,16.8634,-99.8901,82.22,78,100,9.22,overcast clouds
347,Taikang,CN,46.8333,124.4167,73.13,59,90,8.39,overcast clouds
