City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
84,Chokurdakh,RU,2022-06-09 12:54:25,70.6333,147.9167,46.47,65,0,12.03
85,Qasigiannguit,GL,2022-06-09 12:54:26,68.8193,-51.1922,40.32,65,100,2.82
86,Dzhebariki-Khaya,RU,2022-06-09 12:54:28,62.2167,135.8,52.68,93,91,2.04
87,Vaini,TO,2022-06-09 12:54:29,-21.2,-175.2,75.36,78,75,4.61
88,Teya,RU,2022-06-09 12:54:30,60.3778,92.6267,60.78,58,98,2.04
89,Katherine,AU,2022-06-09 12:54:31,-14.4667,132.2667,64.72,45,100,8.05
90,Pevek,RU,2022-06-09 12:54:32,69.7008,170.3133,41.79,68,7,4.74
91,Havoysund,NO,2022-06-09 12:54:34,70.9963,24.6622,48.43,75,99,22.64
92,Kuah,MY,2022-06-09 12:55:35,6.3265,99.8432,85.98,74,20,1.14
93,Batticaloa,LK,2022-06-09 12:55:36,7.7102,81.6924,83.98,74,100,4.9
94,Smirnykh,RU,2022-06-09 12:55:37,49.75,142.8333,40.64,93,100,4.97
95,Victoria,HK,2022-06-09 12:54:01,22.2855,114.1577,82.45,87,100,13.0
96,Zonguldak,TR,2022-06-09 12:55:39,41.25,31.8333,73.72,52,37,8.23
97,Deputatskiy,RU,2022-06-09 12:55:40,69.3,139.9,41.54,63,5,8.1
98,Puerto Ayora,EC,2022-06-09 12:55:41,-0.7393,-90.3518,70.77,79,98,7.87
99,Hualmay,PE,2022-06-09 12:55:42,-11.0964,-77.6139,64.42,82,28,9.22
100,Nara,JP,2022-06-09 12:54:28,34.6851,135.8049,73.49,60,1,1.9
101,Grindavik,IS,2022-06-09 12:55:44,63.8424,-22.4338,60.75,62,75,13.8
102,Padang,ID,2022-06-09 12:55:45,-0.9492,100.3543,75.25,86,100,2.13
103,Busselton,AU,2022-06-09 12:55:46,-33.65,115.3333,62.65,64,98,18.37
104,Upernavik,GL,2022-06-09 12:55:47,72.7868,-56.1549,33.01,99,100,17.65
105,Mahajanga,MG,2022-06-09 12:55:48,-15.7167,46.3167,91.42,35,20,6.91
106,Loknya,RU,2022-06-09 12:55:49,56.83,30.1467,74.62,55,53,4.32
107,Faya,SA,2022-06-09 12:55:50,18.3851,42.4509,90.12,21,100,5.03
108,Faanui,PF,2022-06-09 12:55:52,-16.4833,-151.75,79.54,70,20,6.76
109,Cayenne,GF,2022-06-09 12:55:53,4.9333,-52.3333,84.09,8,20,5.75
110,Plettenberg Bay,ZA,2022-06-09 12:55:54,-34.0527,23.3716,64.11,61,49,8.61
111,Berdigestyakh,RU,2022-06-09 12:55:55,62.0989,126.6992,62.44,71,95,2.51
112,Hilo,US,2022-06-09 12:53:36,19.7297,-155.09,71.11,69,0,5.01
113,New Norfolk,AU,2022-06-09 12:55:57,-42.7826,147.0587,52.72,75,98,7.0
114,Pisco,PE,2022-06-09 12:55:58,-13.7,-76.2167,55.45,82,0,4.61
115,Qaanaaq,GL,2022-06-09 12:56:00,77.484,-69.3632,31.55,92,100,1.79
116,Tocopilla,CL,2022-06-09 12:56:01,-22.092,-70.1979,63.03,69,5,8.39
117,Sterling,US,2022-06-09 12:52:06,39.0062,-77.4286,77.54,80,40,9.22
118,Lompoc,US,2022-06-09 12:56:03,34.6391,-120.4579,60.78,97,100,6.91
119,Labuhan,ID,2022-06-09 12:56:04,-6.8844,112.2051,80.89,81,100,6.82
120,Den Chai,TH,2022-06-09 12:56:05,17.9837,100.0522,76.62,94,100,2.68
121,Belyy Yar,RU,2022-06-09 12:56:06,53.6039,91.3903,64.85,39,0,6.71
122,Malinyi,TZ,2022-06-09 12:56:07,-8.9333,36.1333,84.69,39,13,3.58
123,Zhigansk,RU,2022-06-09 12:56:08,66.7697,123.3711,63.59,62,6,7.02
124,Kavaratti,IN,2022-06-09 12:56:09,10.5669,72.642,83.55,75,15,14.34
125,Saint-Augustin,CA,2022-06-09 12:56:11,51.226,-58.6502,49.01,61,100,0.78
126,Vostok,RU,2022-06-09 12:56:12,46.4856,135.8833,52.7,99,100,4.05
127,Haines Junction,CA,2022-06-09 12:56:13,60.7522,-137.5108,48.15,87,100,5.75
128,Lata,PT,2022-06-09 12:56:14,40.1629,-8.3327,83.07,29,13,7.87
129,Alta Floresta,BR,2022-06-09 12:56:15,-9.8756,-56.0861,80.42,78,20,1.14
130,Saint George,US,2022-06-09 12:56:16,37.1041,-113.5841,78.8,32,8,1.99
131,Leningradskiy,RU,2022-06-09 12:56:17,69.3833,178.4167,31.69,80,11,9.98
132,Cabedelo,BR,2022-06-09 12:56:18,-6.9811,-34.8339,75.87,77,62,10.51
133,Lerwick,GB,2022-06-09 12:56:19,60.1545,-1.1494,53.6,81,31,7.49
134,Airai,TL,2022-06-09 12:56:20,-8.9266,125.4092,58.64,94,100,3.76
135,Torrington,US,2022-06-09 12:56:08,41.8007,-73.1212,70.68,98,100,1.99
136,Namatanai,PG,2022-06-09 12:56:22,-3.6667,152.4333,78.24,78,70,3.44
137,Fukue,JP,2022-06-09 12:56:23,32.6881,128.8419,69.62,85,86,5.39
138,Lazaro Cardenas,MX,2022-06-09 12:56:24,17.9583,-102.2,78.3,75,100,5.59
139,Norwich,GB,2022-06-09 12:56:26,52.6278,1.2983,72.46,49,40,13.8
140,Dingle,PH,2022-06-09 12:57:27,10.9995,122.6711,79.29,86,54,4.25
141,Taltal,CL,2022-06-09 12:57:28,-25.4,-70.4833,62.87,66,0,4.36
142,Puerto Baquerizo Moreno,EC,2022-06-09 12:57:29,-0.9,-89.6,70.36,80,49,10.78
143,Vestmannaeyjar,IS,2022-06-09 12:57:30,63.4427,-20.2734,52.79,66,75,28.77
144,Chapleau,CA,2022-06-09 12:57:32,47.8405,-83.4034,51.89,87,40,0.0
145,Odweyne,SO,2022-06-09 12:57:33,9.4092,45.064,90.81,24,99,16.96
146,Caravelas,BR,2022-06-09 12:57:34,-17.7125,-39.2481,80.13,58,0,4.36
147,Pascoag,US,2022-06-09 12:57:35,41.9557,-71.7023,68.27,85,100,5.75
148,Tuktoyaktuk,CA,2022-06-09 12:57:36,69.4541,-133.0374,30.7,83,97,6.13
149,Severo-Kurilsk,RU,2022-06-09 12:57:37,50.6789,156.125,43.27,93,100,7.74
150,Agadez,NE,2022-06-09 12:57:38,19.75,10.25,103.48,8,0,16.42
151,Sisimiut,GL,2022-06-09 12:57:39,66.9395,-53.6735,43.25,59,56,14.79
152,Clyde River,CA,2022-06-09 12:57:42,70.4692,-68.5914,32.23,93,100,6.91
153,Mar Del Plata,AR,2022-06-09 12:55:23,-38.0023,-57.5575,42.82,100,100,18.41
154,Sabha,LY,2022-06-09 12:57:44,27.0377,14.4283,104.95,8,57,2.39
155,Tura,IN,2022-06-09 12:57:45,25.5198,90.2201,75.04,95,41,2.95
156,Dunmore Town,BS,2022-06-09 12:57:46,25.5,-76.65,80.82,72,14,7.02
157,Poplar Bluff,US,2022-06-09 12:57:47,36.757,-90.3929,69.58,87,0,1.99
158,Golfito,CR,2022-06-09 12:54:31,8.639,-83.166,76.14,91,100,2.39
159,Urbano Santos,BR,2022-06-09 12:57:49,-3.2078,-43.4036,83.8,66,97,5.35
160,Kamina,CD,2022-06-09 12:57:50,-8.7386,24.9906,82.04,23,100,2.48
161,Moindou,NC,2022-06-09 12:57:52,-21.6924,165.677,71.13,82,62,2.51
162,Lasa,IT,2022-06-09 12:57:53,46.6166,10.7002,64.36,62,99,8.77
163,Hithadhoo,MV,2022-06-09 12:57:54,-0.6,73.0833,83.8,69,88,5.06
164,Belmonte,BR,2022-06-09 12:57:55,-15.8631,-38.8828,77.79,64,3,1.34
165,Toyooka,JP,2022-06-09 12:57:56,35.5333,134.8333,60.44,95,21,3.27
166,Yar-Sale,RU,2022-06-09 12:57:58,66.8333,70.8333,73.87,27,16,8.43
167,Barra,BR,2022-06-09 12:57:59,-11.0894,-43.1417,83.53,41,74,4.21
168,Bac Lieu,VN,2022-06-09 12:58:00,9.285,105.7244,85.08,74,100,8.68
169,Juneau,US,2022-06-09 12:58:01,58.3019,-134.4197,55.22,86,100,4.63
170,Thap Than,TH,2022-06-09 12:58:02,15.4606,99.8917,86.86,61,100,5.46
171,Reitz,ZA,2022-06-09 12:58:03,-27.8014,28.4273,65.28,19,0,11.72
172,Geraldton,AU,2022-06-09 12:58:05,-28.7667,114.6,68.41,83,75,12.66
173,Aljezur,PT,2022-06-09 12:58:06,37.3191,-8.8033,77.56,59,79,17.94
